Date,Time,Sym,Market,Reason Code,Res DT,Res QT TM,Res TRD TM,Vol,Flt Sht,Days,Price,M Cap M
2021-09-16,09:36:29,KBSF,NASDAQ,LUDP,09/16/2021,09:36:29,09:41:29,1041,0.06,3,3,13
2021-09-16,09:45:21,SBTX,NASDAQ,LUDP,09/16/2021,09:45:21,09:50:21,2105,0.1,14,12,481
2021-09-16,12:53:00,LIDR,NASDAQ,LUDP,09/16/2021,12:53:00,12:58:00,12701,0.08,1,9,1770
2021-09-16,13:23:24,KTTA,NASDAQ,LUDP,09/16/2021,13:23:24,13:33:25,NA,NA,NA,NA,NA
2021-09-16,13:29:50,BMEA,NASDAQ,T1T2T3,09/16/2021,14:00:00,14:05:00,335,0.1,38,12,359
2021-09-17,09:34:15,VRME,NASDAQ,LUDP,09/17/2021,09:34:15,09:39:15,122,0.02,55,3,24
2021-09-17,09:59:20,GDEV,NASDAQ,LUDP,09/17/2021,09:59:20,10:04:20,NA,NA,NA,NA,NA
2021-09-17,12:36:04,PRTH,NASDAQ,LUDP,09/17/2021,12:36:04,12:41:04,NA,NA,NA,NA,NA
2021-09-17,15:27:46,IDW,AMEX,M,09/17/2021,15:32:46,15:32:46,NA,NA,NA,NA,NA
2021-09-20,09:33:22,VATE,NYSE,M,09/20/2021,09:38:22,09:38:22,NA,NA,NA,NA,NA
2021-09-20,10:38:22,QQD,NASDAQ,LUDP,09/20/2021,10:38:22,10:43:22,NA,NA,NA,NA,NA
2021-09-20,11:08:27,AZYO,NASDAQ,LUDP,09/20/2021,11:08:27,11:13:27,35,0.04,91,7,85
2021-09-20,13:07:46,EDSA,NASDAQ,LUDP,09/20/2021,13:07:46,13:12:46,157240,0.01,0,11,150
2021-09-20,14:47:29,UCL,NASDAQ,LUDP,09/20/2021,14:47:29,14:52:29,2495,0.01,0,6,190
2021-09-20,15:49:43,DGICB,NASDAQ,LUDP,09/20/2021,15:49:43,16:00:00,NA,NA,NA,NA,NA
2021-09-20,16:00:18,VRCA,NASDAQ,T1T2T3,09/20/2021,16:30:00,16:35:00,359,0.19,22,12,323
2021-09-20,19:14:06,TNT,NASDAQ,T12,,,,NA,NA,NA,NA,NA
2021-09-21,09:00:05,NOTV,NASDAQ,T2T3,09/21/2021,09:45:00,09:50:00,111,0.03,86,36,542
2021-09-21,09:37:02,PHGE=,AMEX,M,09/21/2021,09:42:02,09:42:02,NA,NA,NA,NA,NA
2021-09-21,13:02:21,DIT,AMEX,M,09/21/2021,13:07:21,13:07:21,1,0.0,113,152,83
2021-09-21,15:07:01,INCY,NASDAQ,T1T2T3,09/21/2021,17:20:00,17:25:00,NA,NA,NA,NA,NA
2021-09-22,09:30:24,VBNK,NASDAQ,LUDP,09/22/2021,09:30:24,09:35:24,NA,NA,NA,NA,NA
2021-09-22,09:49:19,RIET,NYSE Arca,M,09/22/2021,09:59:19,09:59:19,NA,NA,NA,NA,NA
2021-09-22,09:56:20,AMHCU,NASDAQ,LUDP,09/22/2021,09:56:20,10:06:20,NA,NA,NA,NA,NA
2021-09-22,10:01:21,DRMA,NASDAQ,LUDP,09/22/2021,10:01:21,10:06:21,NA,NA,NA,NA,NA
2021-09-22,13:05:51,BNTC,NASDAQ,LUDP,09/22/2021,13:05:51,13:10:51,4602,0.03,1,4,30
2021-09-23,09:34:02,MRM,NASDAQ,LUDP,09/23/2021,09:34:02,09:39:02,48901,0.0,0,12,65
2021-09-23,10:26:42,AHT-G,NYSE,M,09/23/2021,10:31:42,10:31:42,NA,NA,NA,NA,NA
2021-09-23,14:35:04,AMHC,NASDAQ,LUDP,09/23/2021,14:35:04,14:40:04,NA,NA,NA,NA,NA
2021-09-23,15:36:57,IHT,AMEX,M,09/23/2021,15:47:31,15:47:31,4014,0.01,1,5,44
2021-09-24,07:55:03,ICLK,NASDAQ,T1T2T3,09/24/2021,08:25:00,08:30:00,829,0.01,82,5,531
2021-09-24,15:33:27,AIRT,NASDAQ,LUDP,09/24/2021,15:33:27,15:38:27,2,0.01,652,39,116
